# particle_number, x, y, function_value
97, 5.20031033, 3.94840913, -21.66672117285477
98, -3.55042142, -4.47902405, -22.548420747719256
99, -5.59607808,  1.86467867, -40.77858142158101
0, -1.45440224, -5.25321436, -14.359610338858657
1, 3.60378846, 0.12949431, -3.587536589988195
2, -2.11286176, -2.80428687, -11.967052707836917
3, -5.58641929, -3.12609767, -34.36568472606422
4, -1.4641159 ,  3.75819021, -24.783604226307464
5, -0.95822245, -5.82737521, -14.610727840272375
6, -4.91250736,  2.76166671, -39.25713949390016
7,  2.54487278, -4.73341706, -4.93407143622119
8,  6.25135854, -3.75738974, -9.680232294024366
9, 4.52644463, 3.96320163, -20.16074410950737
10, -3.35417954, -3.96508635, -20.186938390355046
11, 2.56286368, 6.79168175, -38.69358025540022
12, 1.63009118, 3.62705883, -16.571498853679962
13, -4.56982024,  3.7900855 , -42.09865418543114
14, -0.79031817,  5.12342559, -30.996288899152805
15, -7.11362618, -5.0993106 , -52.247636836119675
16, -0.10329356, -3.91909456, -6.345878627704462
17,  5.95848966, -5.05921868, -11.889845233140981
18, 6.03088079, 0.90931649, -11.098627681994136
19, 1.88563936, 1.60061111, -7.234797101632111
20, -0.84528212,  1.82727283, -13.460676123297846
21,  0.45266775, -1.63725294, -3.049241217478599
22, -2.70926063,  8.51691785, -68.74322541329697
23, 2.03710499, 4.85965877, -23.872567745446663
24, -0.13245026, -0.99800264, -4.790635338419579
25,  3.02463936, -7.17861515, -14.988450689324539
26, 2.26392341, 1.31872402, -6.126896784030535
27, -1.78171752, -4.1234398 , -12.557333264749651
28, -1.21445676,  1.9807052 , -15.347469480229377
29,  1.97154718, -8.52733102, -23.019327927610096
30, 1.12293097, 3.05005277, -14.118609313802786
31, 1.41067358, 1.41431531, -7.004597553631532
32, -1.46991505, -6.39673741, -18.90937492400917
33, -9.49412434,  4.07725176, -90.71221721821256
34, -0.54708676, -0.24104711, -6.937369742129844
35, -1.72343955,  0.58832193, -12.93353238112506
36, -3.67506462,  5.12108864, -44.632492911978936
37, -2.2120085, -5.0962158, -17.1283483190838
38,  5.35718531, -4.31264639, -7.91112377553301
39,  2.14538035, -4.46545313, -4.27259096227991
40, -0.04187089, -6.70357471, -15.686657363356945
41, -3.63511298, -2.37467751, -19.8514035610395
42, -0.21234862, -1.57533498, -4.650059747105583
43,  5.53596979, -6.43455279, -15.80857928379246
44, 6.92553499, 1.16508404, -15.408988603741285
45,  3.09465723, -4.49049203, -4.4510716304062745
46, -5.9175519 , -0.60619903, -37.18348902532294
47, 3.8224642 , 2.42516373, -11.146914976946933
48, 0.21424045, 1.15481468, -8.197233275226997
49,  4.13423585, -1.25039869, -2.465292868140543
50,  0.0237921 , -1.49365521, -4.0672993505024735
51,  4.41214525, -4.45591335, -6.013434787906519
52, -2.66641393, -5.38525244, -20.338347279292883
53,  1.85762616, -2.88669166, -1.6120408210458828
54, 1.90675408, 4.36120598, -20.696259050402688
55,  0.77779369, -3.18181892, -3.2234656843508964
56, 0.63479616, 2.94048206, -14.373564487543119
57, 1.40258465, 0.54105728, -4.500479071579464
58, 3.16870517, 6.26223857, -34.45359108561795
59, -4.16254408,  1.47918101, -28.82311746962685
60, 1.109946  , 5.48550839, -29.15793065617322
61, -5.40615491, -2.52122662, -32.36554251543098
62, 0.72967462, 2.63936269, -12.788871340748532
63, 3.45814532, 4.28151234, -20.483507147731096
64,  3.96826974, -4.93545628, -6.6038439554482
65,  3.26483053, -0.973248  , -1.6408560339536815
66, -1.56506585,  0.02027028, -11.025037699600173
67, -4.62412957, -0.39763566, -27.424098915855772
68, -1.13472408, -0.5537997 , -8.430675726030012
69, 1.46886954, 0.48489655, -4.294419318238863
70, -1.88406214, -3.67511293, -12.104451928647894
71, -8.52952263, -8.67712965, -84.70886642534725
72,  1.57424665, -7.56425625, -17.38934759557028
73,  5.28836662, -5.0036856 , -9.622864887700079
74, -1.12049867, -1.09028855, -7.800760168780645
75, 1.86302911, 3.26624299, -14.466837783387003
76,  3.50365981, -1.01714621, -1.8123204461263154
77, 5.53056867, 1.11034322, -10.04219493957803
78, -5.55944003,  1.2974739 , -38.50814498980525
79,  0.11492518, -9.11099194, -29.762431859939024
80,  8.68130932, -2.31244708, -20.108287280546786
81, -3.19184138, -0.83692295, -17.68253406504863
82,  5.49507604, -6.25489299, -14.88672524440933
83, 2.93210356, 0.18681076, -3.1896848421993753
84, -5.2090982 , -6.41927647, -40.84596598728093
85, 4.45538534, 3.78729171, -19.003347952190328
86,  3.74793082, -0.49485694, -2.6848177125410695
87, -2.38787057,  0.66887247, -16.164130786718427
88, -0.91961697, -6.09180932, -15.551461328274293
89, 1.9598078 , 3.62074747, -16.30416866998914
90, 4.76104285, 1.42504343, -9.003052820256391
91, -2.45858307,  4.81672501, -35.76990901904989
92, 2.08598316, 1.74167993, -7.6355598697992
93, 2.7243066 , 6.13181376, -33.19911143656499
94, 0.22544738, 0.94461028, -7.55163716015605
95, -1.70554827,  1.79941021, -16.605074628786678
96, -7.4915793 ,  0.91251884, -54.78989813636373
97, 3.88417205, 2.86736746, -13.2408009315589
98, -2.88062394, -3.82690414, -17.25097529293941
99, -4.56709877, -0.03340962, -27.632960881752524
0, -0.82147297, -4.07030269, -8.790136755085161
1, 3.07733507, 0.32949431, -3.570918857375943
2, -0.75727356, -2.60428687, -6.471864041525526
3, -3.14912469, -3.32609767, -17.892120704042334
4, -0.66046851,  2.93992023, -17.62563304612121
5, -0.75822245, -4.87117636, -10.640889792258458
6, -4.1318506 ,  1.81501115, -29.810313639893398
7,  1.41809619, -4.02613457, -3.764420568617591
8,  4.96890145, -3.4474347 , -5.163952787049393
9, 3.1674069 , 2.80991455, -12.233302050217496
10, -1.97996888, -3.39627425, -12.073417432679529
11, 3.38280609, 5.08557026, -25.707707786697927
12, 1.43009118, 2.59410826, -11.5897954794163
13, -3.31810516,  3.31676379, -31.45142455030053
14, 0.19133673, 3.84780107, -20.102510159637337
15, -6.1571465 , -3.97956431, -40.55432517354711
16,  0.97498634, -3.71909456, -3.7363243759327065
17,  5.43776825, -3.48136081, -6.484530682232563
18, 4.54563643, 0.70931649, -6.4155190053347155
19, 2.28068158, 0.94619394, -4.9933987934468025
20, 0.63395256, 0.7711143 , -6.227430860584398
21,  0.65266775, -1.83725294, -2.6272253549935924
22, -1.38373679,  7.65932771, -54.1510174331183
23, 2.8124243 , 4.44779128, -21.114970055143722
24,  0.06914959, -0.79800264, -4.480654496732088
25,  2.31953261, -6.42036803, -11.152086320691966
26,  2.46392341e+00, -1.13098385e-03, -2.7224410634966896
27, -0.33497764, -3.47233904, -6.173612668798638
28, -0.73558073,  0.57882886, -9.225726115512405
29,  2.17154718, -8.04248213, -19.837922516961097
30, 0.40462916, 1.84490926, -10.126400709101956
31, 1.21067358, 1.01432955, -5.996778212097963
32,  0.06474078, -5.83275035, -11.61744491485595
33, -7.71855128,  2.51815558, -62.88838300381189
34,  1.42888675, -0.79216338, -2.106231318642514
35, -1.32760999, -0.54228872, -9.165927627524526
36, -2.44391948,  3.45963817, -27.502969062859634
37, -1.47635186, -4.3825259 , -11.90609299946348
38,  4.77206497, -3.70528776, -5.1296101021465805
39,  1.65725254, -3.88041465, -3.23507127019566
40,  0.27563609, -5.68583826, -10.559121598250405
41, -2.24381903, -2.57467751, -12.398442889286969
42,  0.49248367, -1.05584938, -3.2902945673506636
43,  5.33596979, -5.61917874, -11.856446103572347
44,  5.48649331, -0.01116281, -7.162362639764172
45,  2.2943933 , -4.24838271, -3.6975262746129802
46, -4.39005862, -1.12082931, -24.958945904145125
47, 2.70455774, 1.55837566, -6.9200415816741145
48, 0.90441051, 0.66389975, -5.478682417855927
49,  3.51153177, -2.18549797, -1.4712913367853766
50,  1.36082093, -1.90733534, -1.567829912347282
51,  3.52016849, -3.54316841, -2.7893116089376733
52, -1.3203584 , -5.01423116, -13.065725550338469
53,  1.18863412, -2.58917751, -2.0162615819876155
54, 1.70675408, 1.98502507, -8.780267975808096
55,  1.88718777, -3.46149639, -2.325843427142674
56, 0.40676299, 1.1987609 , -7.9109186946892525
57,  1.90351245, -0.92591349, -1.5712594913437234
58, 2.90246179, 5.30058656, -26.924149711133023
59, -1.9889052 ,  0.57097396, -14.046929656524997
60, 1.309946  , 4.03999792, -19.26884045528017
61, -4.49981536, -2.32122662, -25.506361990389884
62, 0.52967462, 1.80511772, -9.723978250395163
63, 2.99731048, 3.88120552, -17.753766037429966
64,  3.76826974, -5.13545628, -6.957281264314242
65,  3.06483053, -1.173248  , -1.3425395287889828
66, -0.56037977, -0.25879344, -6.948680186711151
67, -4.14045753, -1.31595027, -23.137333706145007
68, -0.75336767, -0.92013407, -6.691207763252349
69, 1.79598764, 0.68489655, -4.507600324040889
70, -0.71131203, -3.47511293, -7.315691381724207
71, -6.98804919, -7.76852635, -63.15027801697797
72,  0.75161306, -7.36425625, -17.376415164582905
73,  4.81381456, -3.69852731, -5.213157683759677
74, -0.31924516, -0.89028855, -5.402768785584692
75, 2.27996113, 1.98738929, -8.499044819364968
76,  3.70365981, -1.50711966, -1.720514482600318
77, 4.96356357, 0.39867411, -6.595462583218213
78, -3.48391437,  0.19983992, -21.027217970867817
79,  0.5487655 , -8.41931348, -24.0733206686603
80,  7.72833679, -2.79378761, -14.986119454044099
81, -1.55717834, -2.12844854, -9.175380961785628
82,  4.66513404, -6.05489299, -11.894409117795052
83,  3.13210356, -0.01318924, -2.898743401816327
84, -3.95853213, -4.34308286, -24.759584107455314
85, 4.10478202, 2.48931388, -11.839639370202645
86,  4.04564662, -0.69485694, -2.8396351806983273
87, -1.46968874, -0.26709513, -10.131342056099227
88,  0.12970194, -5.03440802, -8.640351789696199
89, 2.68121478, 2.29892808, -9.750856423734291
90, 4.06320428, 0.25198511, -4.456262301117727
91, -1.53596504,  3.0510263 , -21.319776181247818
92, 1.39054108, 1.35283922, -6.824869586915643
93, 2.15474595, 4.35400769, -20.53484482789959
94,  1.1660319 , -0.01859898, -3.5785088806432364
95, -1.50554827,  1.28036974, -13.998522854358987
96, -5.68403119,  0.0268435 , -36.26448472347589
97, 2.8222842 , 1.93215635, -8.313583219968741
98, -2.42459608, -3.15446498, -13.83160299486246
99, -3.87152542, -1.25209862, -21.426994738418067
0,  0.14867435, -3.20148249, -4.530233023225252
1, 2.87733507, 0.12949431, -3.049552981590468
2,  0.25558913, -2.40428687, -3.5647812447104137
3, -1.60254582, -3.12609767, -10.08603737545977
4, 0.29533552, 2.25628305, -11.986555655033744
