swarm_number,particle_number,x,y,function_value
1,4, 2.50291402,-1.8948895 ,-0.9189558375452174
1,5, 2.50916883,-1.89419013,-0.9189974442658544
1,6, 2.50828525,-1.89303937,-0.9189970810131131
1,7, 2.50807721,-1.89346814,-0.9189924865166493
1,8, 2.50612321,-1.89728739,-0.9189609591658787
1,9, 2.50900371,-1.89380663,-0.9189982454767426
2,0, 2.50355627,-1.89596691,-0.9189529896630186
2,1, 2.50384774,-1.89607332,-0.9189536451965558
2,2, 2.50385117,-1.89606868,-0.9189536766044661
2,3, 2.50399951,-1.89655386,-0.9189524691624558
2,4, 2.50400521,-1.89626986,-0.9189535110346111
2,5, 2.50227753,-1.89591383,-0.91894947517917
2,6, 2.50367223,-1.89594851,-0.9189534831450229
2,7, 2.50395383,-1.89621393,-0.9189535167680566
2,8, 2.5038499,-1.8960743,-0.9189536496119295
2,9, 2.50395194,-1.89640264,-0.9189528126174284
3,0, 2.50158539,-1.90331501,-0.9189452845841181
3,1, 2.50119028,-1.90219972,-0.9189416609681739
3,2, 2.50103605,-1.90207872,-0.9189412304303564
3,3, 2.50146588,-1.9032865 ,-0.9189450081478654
3,4, 2.50102352,-1.90308932,-0.9189438289397848
3,5, 2.50118958,-1.90338067,-0.9189449552120301
3,6, 2.50075423,-1.90283533,-0.9189428371794897
3,7, 2.50154984,-1.90239271,-0.9189425967273664
3,8, 2.50059744,-1.90253906,-0.9189419350737106
3,9, 2.50034619,-1.90249177,-0.9189416975968773
4,0, 2.5092816 ,-1.87468899,-0.9193019308171227
4,1, 2.51903374,-1.87841829,-0.919352559912783
4,2, 2.5229318 ,-1.87560369,-0.9194990570142189
4,3, 2.52228238,-1.87450424,-0.9195118021300429
4,4, 2.51784512,-1.87810876,-0.91933737057814
4,5, 2.52220693,-1.87496527,-0.919498475821152
4,6, 2.52160786,-1.88585461,-0.9192720290188213
4,7, 2.52061777,-1.87511979,-0.919460591674717
4,8, 2.52202108,-1.87533168,-0.9194852602206717
4,9, 2.52362279,-1.87730536,-0.919475074666357
0,0, 2.46074512,-1.89632348,-0.9197157642302952
0,1, 2.46074512,-1.89632348,-0.9197157642302931
0,2, 2.46074512,-1.89632348,-0.9197157642302903
0,3, 2.46074512,-1.89632348,-0.9197157642302975
0,4, 2.46074512,-1.89632348,-0.9197157642302907
0,5, 2.46074512,-1.89632348,-0.919715764230303
0,6, 2.46074512,-1.89632348,-0.919715764230291
0,7, 2.46074512,-1.89632348,-0.9197157642302998
0,8, 2.46074512,-1.89632348,-0.9197157642302983
0,9, 2.46074512,-1.89632348,-0.919715764230292
1,0, 2.50818555,-1.89699293,-0.9189765560706555
1,1, 2.50545598,-1.89323721,-0.9189762847431627
1,2, 2.50921129,-1.89464713,-0.918995283779342
1,3, 2.50512658,-1.89577501,-0.9189605993854271
1,4, 2.50235734,-1.89499988,-0.9189538123437717
1,5, 2.50919206,-1.89423865,-0.9189973767745743
1,6, 2.50822652,-1.89298613,-0.9189969682596574
1,7, 2.5079992 ,-1.89345281,-0.918991959667123
1,8, 2.505864  ,-1.89760989,-0.9189585827794154
1,9, 2.50901162,-1.89382124,-0.9189982263939139
2,0, 2.50356628,-1.89596982,-0.9189530135483266
2,1, 2.5038483 ,-1.89607336,-0.9189536471542676
2,2, 2.50385161,-1.89606884,-0.9189536776430625
2,3, 2.50399513,-1.89654092,-0.9189524963813557
2,4, 2.50400065,-1.89626459,-0.9189535124580654
2,5, 2.50232902,-1.89591818,-0.9189495759920562
2,6, 2.50367848,-1.89595192,-0.9189534922762225
2,7, 2.50395094,-1.89621017,-0.918953519576842
2,8, 2.50385038,-1.89607432,-0.9189536514064685
2,9, 2.50394911,-1.89639378,-0.9189528333470547
3,0, 2.50160922,-1.9032898 ,-0.9189452393968075
3,1, 2.50105371,-1.90169784,-0.9189405296788336
3,2, 2.50083686,-1.90152511,-0.918940046350697
3,3, 2.50144119,-1.90324911,-0.9189448500736321
3,4, 2.50081924,-1.90296766,-0.918943272277756
3,5, 2.50105273,-1.90338352,-0.918944811413074
3,6, 2.50044061,-1.90260512,-0.9189420235995295
3,7, 2.50155923,-1.90197332,-0.918941695797429
3,8, 2.50022017,-1.90218222,-0.9189409384781021
3,9, 2.49986689,-1.90211473,-0.9189407780983458
4,0, 2.51221776,-1.87467637,-0.9193338130981492
4,1, 2.51983354,-1.87755227,-0.919387168218531
4,2, 2.52287854,-1.87538172,-0.9195032768888793
4,3, 2.5223712 ,-1.87453391,-0.9195130293851287
4,4, 2.51890514,-1.87731355,-0.9193745727924975
4,5, 2.52231226,-1.87488941,-0.9195027224048651
4,6, 2.52184428,-1.88328796,-0.9193167655129132
4,7, 2.52107085,-1.87500857,-0.9194728094158601
4,8, 2.52216707,-1.87517196,-0.9194924386070008
4,9, 2.52341836,-1.87669398,-0.9194843282903717
0,0, 2.46074512,-1.89632348,-0.919715764230289
0,1, 2.46074512,-1.89632348,-0.919715764230289
0,2, 2.46074512,-1.89632348,-0.919715764230289
0,3, 2.46074512,-1.89632348,-0.919715764230289
0,4, 2.46074512,-1.89632348,-0.919715764230289
0,5, 2.46074512,-1.89632348,-0.919715764230289
0,6, 2.46074512,-1.89632348,-0.919715764230289
0,7, 2.46074512,-1.89632348,-0.919715764230289
0,8, 2.46074512,-1.89632348,-0.919715764230289
0,9, 2.46074512,-1.89632348,-0.919715764230289
1,0, 2.50832819,-1.89632829,-0.9189799532782746
1,1, 2.50612991,-1.89331739,-0.9189796497272709
1,2, 2.50915429,-1.89444768,-0.918995847855753
1,3, 2.50586463,-1.89535189,-0.9189665326449137
1,4, 2.50363452,-1.89473048,-0.9189590220167303
1,5, 2.50913881,-1.89412022,-0.918997578001432
1,6, 2.50836118,-1.89311611,-0.9189971818502266
1,7, 2.5081781 ,-1.89349023,-0.9189931624208327
1,8, 2.50645851,-1.89682291,-0.9189644363374827
1,9, 2.50899348,-1.89378559,-0.9189982839873001
2,0, 2.50344308,-1.89592614,-0.918952758739856
2,1, 2.50384149,-1.89607271,-0.9189536235403215
2,2, 2.50384617,-1.89606632,-0.9189536666450682
2,3, 2.50404893,-1.89673458,-0.9189520616307092
2,4, 2.50405672,-1.89634341,-0.9189534470452673
2,5, 2.50169512,-1.89585304,-0.9189485685817431
2,6, 2.50360158,-1.8959008 ,-0.9189534206071406
2,7, 2.5039865 ,-1.89626637,-0.9189534492671669
2,8, 2.50384443,-1.89607407,-0.9189536295174265
2,9, 2.50398392,-1.8965263 ,-0.9189525023063428
3,0, 2.50161094,-1.90328834,-0.9189452373736149
3,1, 2.50104384,-1.90166883,-0.9189404705026203
3,2, 2.50082247,-1.90149311,-0.9189399861294029
3,3, 2.50143941,-1.90324695,-0.9189448404816363
3,4, 2.50080449,-1.90296062,-0.9189432394475268
3,5, 2.50104285,-1.90338368,-0.9189448016133541
3,6, 2.50041797,-1.90259181,-0.9189419792916623
3,7, 2.50155991,-1.90194907,-0.9189416493114226
3,8, 2.50019292,-1.90216159,-0.9189408880485995
3,9, 2.49983229,-1.90209293,-0.9189407374483439
4,0, 2.51412238,-1.8746684 ,-0.9193590991452123
4,1, 2.52035259,-1.87700519,-0.9194100277820936
4,2, 2.52284396,-1.87524151,-0.9195059479944024
4,3, 2.52242885,-1.87455264,-0.91951384382168
4,4, 2.51959302,-1.87681122,-0.9193993363366656
4,5, 2.52238062,-1.8748415 ,-0.919505454468734
4,6, 2.52199772,-1.88166615,-0.9193485481109228
4,7, 2.52136491,-1.87493832,-0.9194808069920661
4,8, 2.52226183,-1.87507107,-0.9194970535203122
4,9, 2.52328566,-1.87630778,-0.9194903049030837
0,0, 2.46074512,-1.89632348,-0.919715764230289
0,1, 2.46074512,-1.89632348,-0.919715764230289
0,2, 2.46074512,-1.89632348,-0.919715764230289
0,3, 2.46074512,-1.89632348,-0.919715764230289
0,4, 2.46074512,-1.89632348,-0.919715764230289
0,5, 2.46074512,-1.89632348,-0.919715764230289
0,6, 2.46074512,-1.89632348,-0.919715764230289
0,7, 2.46074512,-1.89632348,-0.919715764230289
0,8, 2.46074512,-1.89632348,-0.919715764230289
0,9, 2.46074512,-1.89632348,-0.919715764230289
1,0, 2.50820228,-1.89692173,-0.9189769097777979
1,1, 2.50553498,-1.89324579,-0.9189766608630778
1,2, 2.5092046 ,-1.89462577,-0.9189953367557369
1,3, 2.50521309,-1.89572969,-0.9189612391142182
1,4, 2.50250696,-1.89497103,-0.9189543208995763
1,5, 2.50918581,-1.89422597,-0.9189973925057876
1,6, 2.50824232,-1.89300004,-0.9189970008115871
1,7, 2.50802018,-1.89345681,-0.9189921015036671
1,8, 2.5059337 ,-1.89752558,-0.9189591989648852
1,9, 2.50900949,-1.89381742,-0.9189982308101425
2,0, 2.50360338,-1.89598361,-0.9189530910873814
2,1, 2.50385035,-1.89607357,-0.9189536542361781
2,2, 2.50385325,-1.89606964,-0.918953680818191
2,3, 2.50397894,-1.89647982,-0.9189526449990238
2,4, 2.50398377,-1.89623972,-0.9189535382536094
2,5, 2.50251989,-1.89593873,-0.9189499550723973
2,6, 2.50370163,-1.89596805,-0.9189535125554439
2,7, 2.50394023,-1.89619244,-0.91895354469405
2,8, 2.50385217,-1.8960744 ,-0.9189536579894194
2,9, 2.50393863,-1.89635198,-0.9189529436519741
3,0, 2.50159239,-1.90330748,-0.9189452707674748
3,1, 2.50115018,-1.9020498 ,-0.9189412955134973
3,2, 2.50097757,-1.90191335,-0.9189408414767156
3,3, 2.50145863,-1.90327533,-0.9189449609059
3,4, 2.50096354,-1.90305298,-0.918943657750327
3,5, 2.5011494 ,-1.90338152,-0.9189449110994782
3,6, 2.50066215,-1.90276657,-0.9189425793709062
3,7, 2.5015526 ,-1.90226743,-0.91894230911153
3,8, 2.50048667,-1.90243247,-0.9189416100796682
