# particle_number, x, y, function_value
73, -5.5245558 ,  4.57184033, -54.058045020745325
74, 1.79721678, 4.23550929, -19.988127789557833
75,  2.12222088, -2.50789432, -1.1750648177606011
76,  1.8750277 , -1.39212166, -1.243203927047838
77,  7.33056158, -2.80035864, -12.991423983139995
78, -8.17981637,  2.92038596, -69.56623784132478
79, -3.46660384,  2.44692617, -28.167002783357063
80,  5.28451218, -2.40628719, -4.92385593543732
81, 6.62098182, 0.93761992, -13.436227513964281
82, -1.3463161 , -1.72652329, -8.331059382479939
83, -6.58595912, -5.63135679, -49.15777687459611
84, -1.86211596,  0.5242005 , -13.371340395038368
85, -1.12179605,  4.08789528, -25.405086781380746
86, 3.14331617, 0.2693337 , -3.478870727253009
87, -2.31528747, -1.03300036, -12.888279435187831
88, -6.05504488, -4.2011613 , -40.161006668065255
89, -2.4678823 ,  1.31657033, -18.432028143788727
90, -5.49214072, -5.67155621, -39.968413255817865
91, -6.34799447, -2.78713998, -40.455950276646085
92,  1.51121071, -5.09585305, -6.51452903231773
93, -7.4452923 , -3.74667273, -52.07845803139703
94, 1.24836661, 4.66070478, -23.223655240611624
95, 4.51628017, 7.07782884, -43.252336771743366
96,  6.43550925, -5.82906046, -16.381813140435938
97,  2.79264843, -8.57696904, -23.252717849520675
98,  7.17618261, -6.04377527, -20.437717215126803
99, -1.99046148,  6.16906036, -43.555928267382804
0,  3.40184529, -0.26926579, -2.6552480327006602
1,  1.38977526, -2.12682351, -1.5609624709496919
2,  1.01154645, -3.49658713, -3.301230744473931
3, 1.4964015 , 2.94598674, -13.164337242908653
4,  4.31679723, -3.11101277, -3.302590585488645
5, -4.89842136, -1.68643449, -28.310062969809795
6, 4.59332025, 2.48355335, -12.717703346702054
7, -1.49353394,  5.87261123, -39.09983783467943
8, -5.20520381, -1.83433667, -30.606177232176382
9, -3.36526673, -7.15685054, -31.936854241967303
10, 1.19285098, 5.66708786, -30.403667146995737
11, 6.62268076, 0.64182541, -12.647625071455016
12,  1.12909395, -3.59367962, -3.292905560625695
13, -1.35459583,  2.35196025, -17.387476010507296
14, 3.30674542, 0.21724816, -3.485727495082244
15, 1.39905147, 3.06760383, -13.863526279466885
16, -3.35202737,  1.83623221, -25.02176630006871
17, -2.2566404 , -1.25776967, -12.43798240246024
18,  0.68849894, -4.78407475, -6.718650164810942
19,  0.34298878, -4.479969  , -6.5734072584456715
20, -4.17815137,  1.10341403, -27.72803933380327
21, -1.62042374, -5.46165379, -15.750573294085665
22, -1.81619188,  4.61697828, -31.46919767743547
23, -2.50168782, -1.34794339, -13.579762282511496
24, -1.98700811,  0.3965784 , -13.622695587503127
25,  5.30747954, -5.39351514, -10.962233253520523
26, -4.58605768, -6.20964003, -35.31154386709416
27, 2.8049088, 0.7928843, -4.591236160525606
28,  4.31125128, -1.21716033, -2.7923891292748495
29,  1.25846069, -3.49210219, -2.957043152939451
30, -1.79290063, -4.9258966 , -14.711461548942635
31, 2.96603947, 2.08497377, -8.967542911874668
32, 1.70256442, 2.82574234, -12.403210616722268
33,  1.62529955, -3.80031335, -3.107084391527064
34, 3.47579757, 1.08594887, -5.852974317446762
35, -1.43432455,  0.74660078, -12.160641236705368
36, -4.0732101 , -2.80540605, -22.932364124560976
37, -2.64424707, -3.23949497, -15.047700852758224
38, 3.43940541, 4.33400643, -20.79159787001002
39, -2.60787106,  2.4408397 , -23.385556568772838
40, 3.61229344, 4.25017419, -20.449858168796926
41,  4.88999572, -6.88863085, -16.218197170573674
42, -0.54607471, -1.90988538, -5.558272953686167
43, 0.71940948, 5.05425149, -26.68499672136968
44, -5.55148376, -0.31420175, -34.589511959661955
45,  0.61912084, -3.62263803, -4.171532620985593
46, 6.30211972, 3.22792654, -21.294811027957664
47,  2.83882581, -2.1651588 , -1.0114945935961264
48, 3.2967315 , 2.70678643, -11.847569700257
49, 2.04936458, 0.6179272 , -4.190453378740035
50, -2.75116356, -3.66694688, -16.267348527482042
51,  4.48127439, -2.0197247 , -2.888829646367305
52, -2.24153839,  4.6408443 , -33.55135377103097
53,  3.20136393, -4.7851337 , -5.326892434675672
54,  4.08077781, -4.24916411, -4.927653774420575
55,  0.85336077, -0.76849205, -2.9148040174413783
56, -1.09251377,  2.29630507, -16.17650422689145
57, -0.82739922, -6.23779032, -15.862943754404329
58,  0.86500975, -6.04254819, -10.835887840553536
59, -0.3811249 , -0.62804507, -5.878313552999666
60, 1.65711781, 3.45145496, -15.593198831880802
61, 1.7929783 , 3.92563501, -18.13788998731531
62,  1.04736795, -5.51723339, -8.516197183740449
63, -0.56365822,  2.53879745, -15.463400790621813
64,  0.5328396 , -6.77146065, -14.719362984086562
65, 2.55124735, 1.25216853, -5.888334906283369
66, -5.38488727, -6.78410277, -43.9318920839639
67, 2.04513656, 3.07879413, -13.41658441437595
68, 0.29506365, 3.40647904, -17.429170612832735
69, -1.25758411,  1.01806499, -12.236209338769571
70, 5.93813336, 2.37200569, -15.954335346872496
71, -1.38285383, -2.313275  , -8.54261358371538
72,  5.19375541, -0.37954297, -5.702992430432328
73, -3.65294378,  2.77414032, -30.7720909947107
74, 1.41799606, 2.65176612, -11.863592177605373
75,  1.59054116, -2.12588063, -1.3580072563744112
76,  2.32193219, -2.07361421, -0.9498635513491356
77,  6.08024122, -2.19791117, -7.372377672742987
78, -5.91558683,  1.09384158, -40.811533116277275
79, -2.07477644,  0.68124361, -14.71463757330382
80,  4.50854708, -2.77988759, -3.323170304467659
81,  5.31816379, -0.48516766, -5.890837373114596
82, -0.80063274, -1.884628  , -6.366144939851029
83, -4.48026119, -4.79871883, -29.482247098198446
84, -0.70003212, -0.82171713, -6.620388288791528
85, -0.19720825,  2.10553619, -12.578564791735575
86,  3.02940894, -0.48863697, -2.0550482540643813
87, -1.38226552, -1.10034894, -8.774652211120467
88, -3.85040278, -3.83630351, -22.957381909735375
89, -1.54965623,  0.72048773, -12.552274274991245
90, -3.5980156 , -4.57741649, -23.09611516395601
91, -4.33528499, -2.25543993, -24.342667720339453
92,  2.07056381, -4.13099485, -3.4998152738164823
93, -5.23056319, -2.87168429, -31.27182733187517
94, 1.57109851, 2.52535262, -11.142240417280318
95, 3.49881492, 4.80893736, -23.922674418339536
96,  5.1746835 , -4.84662516, -8.83720437116074
97,  2.75051537, -7.22699753, -15.1387688532086
98,  5.87684024, -5.12987624, -11.83651376865732
99, -0.38805537,  3.97164472, -22.327476289209763
0,  2.69492075, -0.98177058, -1.3595082137066776
1,  2.06489126, -2.35821838, -1.1185803847460574
2,  1.26991601, -3.20823515, -2.531231453645081
3, 2.18503676, 1.13620508, -5.5778100978956715
4,  3.86571011, -2.91037997, -2.3619544243418344
5, -2.82366477, -1.42943315, -15.200358378906978
6, 3.8954113 , 0.58533964, -4.9809814403261825
7, -0.05245532,  3.77618336, -20.28598135154741
8, -3.12129834, -1.99846327, -16.72328356220798
9, -1.57248164, -6.00979207, -17.65668733568721
10, 1.5322351 , 3.57531999, -16.376787494360546
11,  5.52404882, -0.4190605 , -6.587965064650367
12,  1.98737653, -3.07477271, -1.7403754036496246
13, 0.03168071, 0.52218023, -6.898717134269722
14,  2.76343578, -0.35891855, -2.1411037479684034
15, 1.55888087, 1.19705649, -6.157670581269436
16, -1.40691545,  0.41275253, -11.22534482327884
17, -0.44296065, -1.63046923, -5.285770637679786
18,  1.67163854, -3.83903897, -3.1419659531961073
19,  1.15226218, -3.83165465, -3.692781995782261
20, -2.11639105, -0.41734623, -12.673602780384552
21, -0.16400548, -4.48455908, -7.807373950520004
22, -0.05389855,  2.55827188, -14.118231505993208
23, -0.88055099, -1.48281312, -6.7200234685960645
24, -0.60214048, -0.88829282, -6.242352007206726
25,  4.35967359, -4.46343325, -5.933726461607673
26, -2.5685113 , -5.13211813, -18.987135730245516
27,  2.23233903, -0.45597459, -1.9973644300156508
28,  3.66474156, -1.41997397, -1.712462472572086
29,  1.44892738, -2.75830818, -1.8396618173568762
30, -0.37449865, -4.10916213, -7.4905084385362155
31, 2.93612769, 0.58302388, -4.096746015746312
32, 1.64706381, 1.20067936, -6.089794859283666
33,  1.47018393, -3.11024622, -2.1815470594058968
34,  3.02296535, -0.43040159, -2.1355446528784072
35, -0.09507529, -0.16450486, -5.792118108366239
36, -2.12196817, -2.29731037, -11.679161168783338
37, -1.06552161, -2.60013208, -7.5205031895210155
38, 3.12424311, 2.3017721 , -9.941222643611802
39, -0.72936311,  0.72149822, -9.569458023359632
40, 3.23391983, 2.22109428, -9.679966722314937
41,  3.99751012, -5.76112193, -9.494338105564863
