swarm_number,particle_number,x,y,function_value
0,86, 0.22880505,-0.8844271 ,-12.029520528322854
0,87,-0.78328377,-1.45404033,-30.237635766430003
0,88, 1.48508089,-0.34527549,-37.915919020038196
0,89,-0.61101772, 0.11015687,-20.350846139535108
0,90,2.10013795,4.13292217,-26.696070636732365
0,91,-0.44115096,-2.78134013,-35.29815313685415
0,92,1.75860861,0.5763635 ,-31.755112920144207
0,93,-3.08144989,-1.35809366,-28.902429267596034
0,94,-2.62324372,-3.74881135,-48.158344148317155
0,95,-2.37893099, 3.14513133,-36.67215791554286
0,96,0.93772008,2.1932626 ,-12.955755829678095
0,97,2.09636763,2.10040767,-12.509181198484399
0,98, 0.28964909,-1.84050063,-20.55207604629936
0,99,-1.53095237, 1.69614995,-38.3515334103291
0,0,-2.47200877,-1.46727179,-47.89876402019471
0,1,-0.66473886, 3.05346242,-25.42894720739594
0,2,2.90497502,3.35146775,-37.353502898086205
0,3,-2.69689521, 0.08194134,-21.851407039449242
0,4,2.93122307,0.41249551,-28.207752353397915
0,5,-1.77999256, 0.35052004,-27.322139473856865
0,6, 3.3332508 ,-1.37700183,-45.16164822407674
0,7,1.86336829,1.9109451 ,-12.1130350617733
0,8,-0.24101636,-1.87030388,-16.132589312720267
0,9, 0.21050683,-0.94389161,-9.094213780064692
0,10, 2.45502275,-1.09644765,-28.613331625371593
0,11,-3.5531738 ,-1.90239075,-37.51364176005346
0,12,-2.33771634,-3.84540698,-39.84667831229379
0,13,-2.31396917, 3.54220889,-51.464035460455456
0,14,-1.74688141,-0.37942352,-30.65633440776723
0,15,-0.58366646,-2.95339988,-28.138604371534022
0,16,-2.97539238,-1.31766923,-24.833333977605218
